iter,f,grad_norm,step_norm,step_size,cumulative_time,per_iter_time,accepted,armijo_iters,gtd,hvp_calls_iter,hvp_calls_cum,subspace_dim,eta,lambda_min_phpt,lambda_shift,seed_sketch,used_grad_fallback
86,0.1303591334621828,0.007151713131162785,0.2611729138931252,1.0,240.63033934868872,2.8126525450497866,1,0,-0.0005168408228239072,200,17200,200,0.0857527339561877,0.0008947041514313168,0.0,3089251388,0
87,0.1297802526740865,0.0071061299416910915,0.2951583419817677,1.0,243.41989750880748,2.7894820300862193,1,0,-0.0006180959955335595,200,17400,200,0.08456780197665531,0.0008461726273677997,0.0,1328670542,0
88,0.1293897354949323,0.007049141350284044,0.2377711510886817,1.0,246.2402914147824,2.8203083467669785,1,0,-0.00041556278257812374,200,17600,200,0.08429786439579055,0.0009342924084994649,0.0,2847471289,0
89,0.12902246764833442,0.006992442559531148,0.2309259041176626,1.0,249.06412129290402,2.823750394862145,1,0,-0.0003997077125337849,200,17800,200,0.08395916477838523,0.0008905749631247117,0.0,2508045473,0
90,0.1285950095929896,0.006945554056311131,0.2533136858779259,1.0,251.85714475763962,2.7929520159959793,1,0,-0.0004564638566856401,200,18000,200,0.08362082611126936,0.0008751301492681112,0.0,1257407861,0
91,0.1281782868712404,0.00683953963326362,0.24937999545280218,1.0,254.66597565077245,2.8087556711398065,1,0,-0.00044922050725287394,200,18200,200,0.08333999073860718,0.0008317512892647229,0.0,1345742210,0
92,0.12769751569109422,0.006808057100453112,0.265797418545033,1.0,257.4613525075838,2.7953026117756963,1,0,-0.0005157500649138963,200,18400,200,0.08270150925626218,0.000925746666361576,0.0,3007550389,0
93,0.12733773747480825,0.006677165767524856,0.23079448431688804,1.0,260.2685506576672,2.8071205550804734,1,0,-0.0003859441700500442,200,18600,200,0.082510951397091,0.0008779949464280399,0.0,2202489868,0
94,0.12689883752489728,0.00664106231110011,0.2630407214462722,1.0,263.09372041979805,2.8250954491086304,1,0,-0.0004671655892624487,200,18800,200,0.08171392639890006,0.000835449474433203,0.0,2719836705,0
95,0.12649202457646508,0.00654207028419523,0.243764964099042,1.0,265.91193225979805,2.8181412974372506,1,0,-0.00044460678237021885,200,19000,200,0.0814927132392836,0.000872547316295811,0.0,4170649738,0
96,0.12608778245839677,0.006493560221423445,0.251024748796069,1.0,268.6986961006187,2.7866881298832595,1,0,-0.0004301791225702188,200,19200,200,0.08088306549702003,0.000900990188709591,0.0,4019726495,0
97,0.12570067329344323,0.006455294627520578,0.24393214406203576,1.0,271.52803610265255,2.8292679940350354,1,0,-0.0004184025095262743,200,19400,200,0.08058262977480597,0.0008524415077785683,0.0,799408301,0
98,0.1253826167026893,0.006429997935379914,0.22210683977319756,1.0,274.350502833724,2.82238731905818,1,0,-0.00034705640156175503,200,19600,200,0.0803448481703748,0.0008963493412314225,0.0,2191126848,0
